"personagem" "diálogo"
"29" "BIB" "Die Wanna Wanga!"
"30" "THREEPIO" "Oh, meu Deus ! Wauaga . Nós - nós trazemos uma mensagem ao seu mestre, Jabba the Hutt."
"31" "THREEPIO" "... e um presente. Presente, que presente?"
"32" "BIB" "Nee Jabba no badda . Me chaade que bom."
"33" "THREEPIO" "Ele diz que nossas instruções são para dar apenas ao próprio Jabba."
"34" "THREEPIO" "Sinto muito. Receio que ele seja tão teimoso com esse tipo de coisa."
"35" "BIB" " Nudd Chaa."
"36" "THREEPIO" "Artoo, eu tenho um mau pressentimento sobre isso."
"37" "THREEPIO" "Bom dia."
"38" "JABBA" "Bo Shuda !"
"39" "THREEPIO" "A mensagem, Artoo, a mensagem."
"40" "LUKE" "Saudações, Exaltado. Permita-me apresentar-me. Eu sou Luke Skywalker, Cavaleiro Jedi e amigo do Capitão Solo. Eu sei que você é poderoso, poderoso Jabba, e que sua raiva com Solo deve ser igualmente poderoso. Busco uma audiência com Vossa Grandeza para barganhar pela vida de Solo. Com sua sabedoria, tenho certeza de que podemos chegar a um acordo que seja mutuamente benéfico e nos permita evitar qualquer confronto desagradável. Como prova de minha boa vontade , apresento a você um presente: esses dois droides."
"41" "THREEPIO" "O que ele disse?"
"42" "LUKE" "... Ambos são trabalhadores e irão atendê-lo bem."
"43" "THREEPIO" "Isso não pode ser! Artoo, você está jogando a mensagem errada."
"44" "JABBA" "Não haverá barganha."
"45" "THREEPIO" "Estamos condenados."
"46" "JABBA" "Eu não vou desistir da minha decoração favorita. Eu gosto do Capitão Solo onde ele está."
"47" "THREEPIO" "Artoo, olhe! Capitão Solo. E ele ainda está congelado em carbonita."
"48" "THREEPIO" "O que poderia ter acontecido com o Mestre Luke. Foi algo que eu fiz? Ele nunca expressou qualquer infelicidade com o meu trabalho. Oh! Oh! Espere! Ohh !"
"49" "NINEDENINE" "Ah, bom. Novas aquisições. Você é um droide de protocolo, não é?"
"50" "THREEPIO" "Eu sou See- Threepio , humano-cy..."
"51" "NINEDENINE" "Sim ou não serve."
"52" "THREEPIO" "Ah. Bem, sim."
"53" "NINEDENINE" "Quantas línguas você fala?"
"54" "THREEPIO" "Sou fluente em mais de seis milhões de formas de comunicação e posso prontamente..."
"55" "NINEDENINE" "Esplêndido! Estamos sem intérprete desde que nosso mestre ficou bravo com nosso último droide de protocolo e o desintegrou."
"56" "THREEPIO" "Desintegrado?"
"57" "NINEDENINE" "Guarda! Este dróide de protocolo pode ser útil. Encaixe-o com um parafuso de contenção e leve-o de volta à câmara de audiência principal de Sua Excelência."
"58" "THREEPIO" "Artoo, não me deixe! Ohhh !"
"59" "NINEDENINE" "Você é uma criança mal-humorada, mas logo aprenderá um pouco de respeito. Preciso de você na Barca de Vela do mestre. E acho que você vai se encaixar muito bem."
"60" "JABBA" "Da Eitha !"
"61" "OOLA" "Na Chuba negatorie Na! Na! Natoota ..."
"62" "JABBA" " Boscka !"
"63" "BOUSHH" "Eu vim pela recompensa por este Wookiee ."
"64" "THREEPIO" "Ah, não! Chewbacca!"
"65" "JABBA" "Finalmente temos o poderoso Chewbacca."
"66" "THREEPIO" "Oh, uh, sim, uh, estou aqui, Excelência. Uh... sim!"
"67" "THREEPIO" "Oh. O ilustre Jabba lhe dá as boas-vindas e de bom grado lhe pagará a recompensa de vinte e cinco mil."
"68" "BOUSHH" "Eu quero cinquenta mil. Nada menos."
"69" "THREEPIO" "Uh, oh... mas o que, o que eu disse? Uh, o poderoso Jabba pergunta por que ele deve pagar cinquenta mil."
"70" "THREEPIO" "Porque ele está segurando um detonador térmico."
"71" "JABBA" "Esse caçador de recompensas é meu tipo de escória. Destemido e inventivo."
"72" "THREEPIO" "Jabba oferece a soma de trinta e cinco. E eu sugiro que você aceite."
"73" "BOUSHH" " Zeebuss ."
"74" "THREEPIO" "Ele concorda!"
"75" "BOUSHH" "Apenas relaxe por um momento. Você está livre da carbonita."
"76" "BOUSHH" " Shhh . Você está com a doença da hibernação."
"77" "HAN" "Não consigo ver."
"78" "BOUSHH" "Sua visão voltará com o tempo."
"79" "HAN" "Onde estou?"
"80" "BOUSHH" "Palácio de Jabba."
"81" "HAN" "Quem é você?"
"82" "LEIA" "Alguém que te ama."
"83" "HAN" "Leia!"
"84" "LEIA" "Tenho que te tirar daqui."
"85" "HAN" "O que é isso? Eu conheço essa risada."
"86" "HAN" "Ei, Jabba. Olha, Jabba, eu estava indo te pagar de volta, mas me desviei um pouco. Não é minha culpa."
"87" "JABBA" "É tarde demais para isso, Solo. Você pode ter sido um bom contrabandista, mas agora você é ração Bantha ."
"88" "HAN" "Olha..."
"89" "JABBA" "Leve-o embora!"
"90" "HAN" "Jabba... eu te pago o triplo! Você está jogando fora uma fortuna aqui. Não seja tolo!"
"91" "JABBA" "Traga-a para mim."
"92" "LEIA" "Temos amigos poderosos. Você vai se arrepender disso..."
"93" "JABBA" "Tenho certeza."
"94" "LEIA" "Ugh!"
"95" "THREEPIO" " Ohhh , eu não suporto assistir."
"96" "HAN" "Chewie? Chewie, é você?"
"97" "HAN" "Ah! Mastigue--Chewie!"
"98" "HAN" "Espere. Não consigo ver, amigo. O que está acontecendo ?"
"99" "HAN" "Luke? Luke é louco. Ele não pode nem cuidar de si mesmo, muito menos resgatar alguém."
"100" "HAN" "Um... Cavaleiro Jedi? Eu - eu estou fora disso por um tempo, todo mundo tem delírios de grandeza."
"101" "HAN" "Estou bem, amigo. Estou bem."
"102" "LUKE" "Preciso falar com Jabba."
"103" "LUKE" "Você vai me levar para Jabba agora!"
"104" "LUKE" "Você serve bem ao seu mestre."
"105" "LUKE" "E você será recompensado."
"106" "THREEPIO" "Finalmente! Mestre Luke veio me resgatar."
"107" "BIB" "Mestre."
"108" "BIB" "...Luke Skywalker, Cavaleiro Jedi."
"109" "JABBA" "Eu lhe disse para não admiti-lo."
"110" "LUKE" "Devo ter permissão para falar."
"111" "BIB" "Ele deve poder falar."
"112" "JABBA" "Seu tolo de mente fraca! Ele está usando um velho truque mental Jedi."
"113" "LUKE" "Você vai trazer o Capitão Solo e o Wookiee para mim."
"114" "JABBA" "Seus poderes mentais não funcionarão em mim, garoto."
"115" "LUKE" "Mesmo assim, estou levando o Capitão Solo e seus amigos. Você pode lucrar com isso... ou ser destruído! A escolha é sua. Mas eu te aviso para não subestimar meus poderes."
"116" "THREEPIO" "Mestre Luke, você está de pé..."
"117" "JABBA" "Não haverá barganha, jovem Jedi. Vou gostar de ver você morrer."
"118" "JABBA" " Basta !"
"119" "THREEPIO" "Ah, não! O Rancor!"
"120" "JABBA" "Traga-me Solo e o Wookiee . Todos eles vão sofrer por esse ultraje."
"121" "LUKE" "Han!"
"122" "HAN" "Luke!"
"123" "LUKE" "Você está bem?"
"124" "HAN" "Tudo bem. Juntos de novo, hein?"
"125" "LUKE" "Não perderia."
"126" "HAN" "Como estamos?"
"127" "LUKE" "O mesmo de sempre."
"128" "HAN" "Tão ruim, hein? Onde está Leia?"
"129" "LEIA" "Estou aqui."
"130" "THREEPIO" "Oh, querido. Sua Alta Exaltação, o grande Jabba, o Hutt, decretou que você deve ser exterminado imediatamente."
"131" "HAN" "Bom, eu odeio longas esperas."
"132" "THREEPIO" "Você será, portanto, levado para o Mar das Dunas e lançado no poço de Carkoon , o local de nidificação do todo-poderoso Sarlacc ."
"133" "HAN" "Não parece tão ruim."
"134" "THREEPIO" "Na barriga dele, você encontrará uma nova definição de dor e sofrimento, pois você é digerido lentamente ao longo de mil anos."
"135" "HAN" "Pensando bem, vamos passar adiante, hein?"
"136" "LUKE" "Você deveria ter negociado, Jabba. Esse é o último erro que você cometerá."
"137" "HAN" "Acho que meus olhos estão melhorando. Em vez de um grande borrão escuro, vejo um grande borrão de luz."
"138" "LUKE" "Não há nada para ver. Eu morava aqui, sabe."
"139" "HAN" "Você vai morrer aqui, você sabe. Conveniente."
"140" "LUKE" "Apenas fique perto de Chewie e Lando . Eu cuidei de tudo."
"141" "HAN" "Ah... ótimo!"
"142" "JABBA" "Logo você aprenderá a me apreciar."
"143" "THREEPIO" "Ah, eu sinto muito ... Artoo ! O que você está fazendo aqui?"
"144" "THREEPIO" "Bem, eu posso ver que você está servindo bebidas, mas este lugar é perigoso. Eles vão executar o Mestre Luke e, se não tomarmos cuidado, nós também!"
"145" "THREEPIO" "Hmm. Eu gostaria de ter sua confiança."
"146" "THREEPIO" "Vítimas do todo-poderoso Sarlacc : Sua Excelência espera que vocês morram honrosamente. Mas se algum de vocês desejar implorar por misericórdia, o grande Jabba, o Hutt, agora ouvirá suas súplicas."
"147" "HAN" " Trêspio , diga a esse pedaço viscoso de... imundície cheia de vermes que ele não terá tanto prazer de nós. Certo?"
"148" "LUKE" "Jabba! Esta é sua última chance. Liberte-nos ou morra."
"149" "JABBA" "Mova-o para a posição."
"150" "JABBA" "Coloque-o dentro."
"151" "LUKE" "Calma, Chewie."
"152" "LANDO" "Ei! Ei! Socorro!"
"153" "HAN" "Chewie, você está bem? Onde ele está?"
"154" "HAN" "Estou bem, amigo."
"155" "LANDO" "Han! Chewie?"
"156" "HAN" " Lando !"
"157" "HAN" "Boba Fett?! Boba Fett?! Onde?"
"158" "HAN" " Lando , pegue!"
"159" "LANDO" "Abaixe!"
"160" "HAN" "Estou tentando!"
"161" "HAN" "Ei! Ei! Agarre-me, Chewie! Estou escorregando."
"162" "HAN" "Agarre! L-- Lando . Agarre!"
"163" "HAN" "Agarre! Quase... Você quase conseguiu!"
"164" "LANDO" "Espere! Uau!"
"165" "HAN" "Delicadamente agora. Tudo... tudo bem. Agora fácil, fácil. Segure-me, Chewie."
"166" "HAN" "Chewie! Chewie, me dê a arma. Não se mova, Lando ."
"167" "LANDO" "Não, espere! Achei que você fosse cego!"
"168" "HAN" "Está tudo bem. Confie em mim. Não se mova."
"169" "LANDO" "Tudo bem! Um pouco mais alto! Só um pouco mais alto!"
"170" "HAN" "Chewie, nos puxe para cima! Vamos! Ok... para cima, Chewie, para cima!"
"171" "LEIA" "Vamos. Temos que sair daqui rápido."
"172" "THREEPIO" "Não meus olhos! Artoo, socorro! Rápido, Artoo. Oh! Ohhh ! Sua besta!"
"173" "LUKE" "Pegue a arma! Aponte para o convés!"
"174" "LUKE" "Aponte para o convés!"
"175" "THREEPIO" "Artoo, para onde vamos? Eu não poderia pular."
"176" "LUKE" "Vamos!"
"177" "LUKE" "Vamos! E não se esqueça dos droides."
"178" "LANDO" "Estamos a caminho."
"179" "HAN" "Eu não sei. Tudo o que posso ver é um monte de areia soprada!"
"180" "LEIA" "Isso é tudo que qualquer um de nós pode ver."
"181" "HAN" "Então acho que estou melhorando."
"182" "HAN" "Eu tenho que admitir, garoto, você foi muito bom lá fora."
"183" "LUKE" "Eu tive muita ajuda. Não pense em nada."
"184" "HAN" "Não, estou pensando muito sobre isso. Aquele congelamento de carbono foi a coisa mais próxima de morte que existe. E não foi só dormir . Foi um grande nada acordado!"
"185" "LUKE" "Vejo você na frota."
"186" "HAN" "Por que você não deixa aquele caixote e vem com a gente?"
"187" "LUKE" "Tenho uma promessa que devo cumprir primeiro... com um velho amigo."
"188" "HAN" "Acho que te devo alguns agradecimentos também, Lando ."
"189" "LANDO" "Achei que se eu te deixasse congelado desse jeito você só me daria azar pelo resto da minha vida, então é melhor eu te descongelar mais cedo ou mais tarde."
"190" "LEIA" "Ele quer dizer \"De nada.\""
"191" "LANDO" "Vamos, vamos sair dessa miserável bola de poeira."
"192" "LUKE" "Te encontro na frota."
"193" "LEIA" "Rápido. A Aliança já deve estar montada."
"194" "LUKE" "Eu vou."
"195" "HAN" "Ei, Luke, obrigado. Obrigado por vir atrás de mim. Agora eu te devo uma."
"196" "LUKE" "Isso mesmo, Artoo. Estamos indo para o sistema Dagobah. Tenho uma promessa a cumprir... com um velho amigo."
"197" "IMPERADOR" "Levante-se, meu amigo."
"198" "VADER" "A Estrela da Morte será concluída dentro do prazo."
"199" "IMPERADOR" "Você se saiu bem, Lorde Vader. E agora sinto que deseja continuar sua busca pelo jovem Skywalker."
"200" "VADER" "Sim, meu Mestre."
"201" "IMPERADOR" "Paciência, meu amigo. Com o tempo ele vai procurá-lo. E quando o fizer, você deve trazê-lo antes de mim. Ele se fortaleceu. Somente juntos podemos transformá-lo no lado sombrio da Força. ."
"202" "VADER" "Como quiser."
"203" "IMPERADOR" "Tudo está acontecendo como eu previ."
"204" "YODA" "Hmm. Essa cara que você faz. Pareço eu tão velho para olhos jovens?"
"205" "LUKE" "Não... claro que não."
"206" "YODA" "Sim, sim! Doente me tornei. Velho e fraco. Quando chegar aos novecentos anos, não parecerá tão bonito. Hmm?"
"207" "YODA" "Em breve vou descansar. Sim, dormir para sempre. Ganhei, eu tenho."
"208" "LUKE" "Mestre Yoda, você não pode morrer."
"209" "YODA" "Forte sou eu com a Força... mas não tanto! O crepúsculo está sobre mim e logo a noite deve cair. Esse é o jeito das coisas... o jeito da Força."
"210" "LUKE" "Mas preciso da sua ajuda. Voltei para completar o treinamento."
"211" "YODA" "Você não precisa de mais treinamento. Já sabe o que precisa."
"212" "LUKE" "Então eu sou um Jedi?"
"213" "YODA" " Ohhh . Ainda não. Uma coisa permanece: Vader. Você deve confrontar Vader. Então, só então, você será um Jedi. E você o enfrentará."
"214" "LUKE" "Mestre Yoda... Darth Vader é meu pai?"
"215" "YODA" " Mmm ... descanso eu preciso. Sim... descanso."
"216" "LUKE" "Yoda, eu preciso saber."
"217" "YODA" "Seu pai ele é."
"218" "YODA" "Disse a você, não é?"
"219" "LUKE" "Sim."
"220" "YODA" "Isso é inesperado, e lamentável.."
"221" "LUKE" "Infeliz que eu saiba a verdade?"
"222" "YODA" "Não. Infelizmente você correu para enfrentá-lo... esse treinamento foi incompleto. Você não estava pronto para o fardo."
"223" "LUKE" "Bem, me desculpe."
"224" "YODA" "Lembre-se, a força de um Jedi flui da Força. Mas cuidado. Raiva, medo, agressão. O lado escuro são eles. Uma vez que você comece a trilhar o caminho escuro, para sempre ele dominará seu destino."
"225" "YODA" "Luke...Luke...Não...Não subestime os poderes do Imperador, ou sofrerá o destino de seu pai, você irá. Luke, quando eu for embora eu, o último dos Jedi você vai ser. Luke, a Força corre forte em sua família. Passe adiante o que você aprendeu, Luke... Há... outro... Céu... Céu... Andarilho."
"226" "LUKE" "Eu não posso fazer isso, Artoo. Eu não posso continuar sozinho."
"227" "BEN" "Yoda sempre estará com você."
"228" "LUKE" "Obi-Wan! Por que você não me contou?"
"229" "LUKE" "Você me disse que Vader traiu e assassinou meu pai."
"230" "BEN" "Seu pai foi seduzido pelo lado negro da Força. Ele deixou de ser Anakin Skywalker e se tornou Darth Vader. Quando isso aconteceu, o bom homem que era seu pai foi destruído. Então o que eu disse a você era verdade... de um certo ponto de vista."
"231" "LUKE" "Um certo ponto de vista!"
"232" "BEN" "Luke, você vai descobrir que muitas das verdades às quais nos apegamos dependem muito do nosso próprio ponto de vista."
"233" "BEN" "Eu não o culpo por estar com raiva. Se eu estivesse errado no que fiz, certamente não teria sido a primeira vez. Veja, o que aconteceu com seu pai foi culpa minha. "
"234" "BEN" "Anakin era um bom amigo."
"235" "BEN" "Quando o conheci, seu pai já era um grande piloto. Mas fiquei impressionado com a força da Força com ele. Eu decidi treiná-lo como um Jedi. Achei que poderia instruí-lo tão bem quanto Yoda. Eu estava errado. Meu orgulho teve consequências terríveis para a galáxia."
"236" "LUKE" "Ainda há coisas boas nele."
"237" "BEN" "Eu também pensei que ele poderia voltar para o lado bom. Não poderia ser feito. Ele é mais máquina agora do que homem. Retorcido e mal."
"238" "LUKE" "Eu não posso fazer isso, Ben."
"239" "BEN" "Você não pode escapar do seu destino."
"240" "LUKE" "Tentei pará-lo uma vez. Não consegui."
"241" "BEN" "Vader o humilhou quando você o conheceu, Luke... Vader então, você poderia ter terminado seu treinamento aqui com Yoda. Você estaria preparado."
"242" "LUKE" "Mas eu tinha que ajudar meus amigos."
"243" "BEN" "E você os ajudou? Foram eles que tiveram que salvá-lo. Você conseguiu pouco ao voltar prematuramente, eu temo."
"244" "LUKE" "Descobri que Darth Vader era meu pai."
"245" "BEN" "Para ser um Jedi, Luke, você deve enfrentar e ir além do lado sombrio - o lado que seu pai não conseguiu passar. A impaciência é a porta mais fácil - para você, como seu pai. Só que, seu pai foi seduzido pelo que encontrou do outro lado da porta, e você se manteve firme. Você não é mais tão imprudente agora, Luke. Você é forte e paciente. E agora, você deve enfrentar Darth Vader novamente!"
"246" "LUKE" "Não posso matar meu próprio pai."
"247" "BEN" "Então o Imperador já venceu. Você era nossa única esperança."
"248" "LUKE" "Yoda falou de outro."
"249" "BEN" "A outra de quem ele falou é sua irmã gêmea."
"250" "LUKE" "Mas eu não tenho irmã."
"251" "BEN" "Hmm. Para proteger vocês dois do Imperador, vocês foram escondidos de seu pai quando nasceram. O Imperador sabia, como eu, que se Anakin tivesse filhos, eles seriam uma ameaça ele. Essa é a razão pela qual sua irmã permanece seguramente anônima."
"252" "LUKE" "Leia! Leia é minha irmã."
"253" "BEN" "Sua percepção lhe serve bem. Enterre seus sentimentos bem no fundo, Luke. Eles lhe dão crédito. Mas eles podem ser feitos para servir ao Imperador."
"254" "BEN" "Quando seu pai foi embora, ele não sabia que sua mãe estava grávida. Sua mãe e eu sabíamos que ele descobriria eventualmente, mas queríamos manter vocês dois o mais seguros possível, pelo maior tempo possível. Então eu a levei para morar com meu irmão Owen em Tatooine... e sua mãe levou Leia para viver como filha do senador Organa, em Alderaan ."
"255" "BEN" "A família Organa era bem nascida e politicamente bastante poderosa naquele sistema. Leia se tornou uma princesa em virtude da linhagem... ninguém sabia que ela havia sido adotada, é claro. Mas era um título. sem poder real, já que Alderaan era uma democracia há muito tempo. Mesmo assim, a família continuou a ser politicamente poderosa, e Leia, seguindo o caminho de seu pai adotivo, tornou-se senadora também. Isso não é tudo o que ela se tornou, é claro... ela se tornou a líder de sua célula na Aliança contra o Império corrupto. E porque ela tinha imunidade diplomática, ela era um elo vital para obter informações para a causa Rebelde. Isso é o que ela estava fazendo quando seu caminho cruzou o seu... por ela pais adotivos sempre disseram a ela para entrar em contato comigo em Tatooine, se seus problemas se tornassem desesperados."
"256" "LUKE" "Mas você não pode deixar ela se envolver agora, Ben. Vader vai destruí-la."
"257" "BEN" "Ela não foi treinada nos caminhos dos Jedi como você, Luke... Você deve enfrentar e destruir Vader!"
"258" "HAN" "Bem, olhe para você, um general, hein?"
"259" "LANDO" "Ah, bem, alguém deve ter contado a eles sobre minha pequena manobra na batalha de Taanab ."
"260" "HAN" "Bem, não olhe para mim, amigo. Eu acabei de dizer que você era um bom piloto. Eu não sabia que eles estavam procurando alguém para liderar esse ataque maluco."
"261" "LANDO" "Estou surpreso que eles não pediram para você fazer isso."
"262" "HAN" "Bem, quem disse que não. Mas eu não sou louco. Você é o respeitável, lembra?"
"263" "MON MOTHMA" "O Imperador cometeu um erro crítico e chegou a hora do nosso ataque."
"264" "MON MOTHMA" "Os dados trazidos a nós pelos espiões Bothan indicam a localização exata da nova estação de batalha do Imperador. Também sabemos que os sistemas de armas desta Estrela da Morte ainda não estão operacionais. Com a Frota Imperial espalhada por toda parte a galáxia em um esforço em vão para nos envolver, ela está relativamente desprotegida. Mas o mais importante de tudo, nós aprendemos que o próprio Imperador está supervisionando pessoalmente os estágios finais da construção desta Estrela da Morte."
"265" "MON MOTHMA" "Muitos Bothanos morreram para nos trazer esta informação. Almirante Ackbar , por favor."
"266" "ACKBAR" "Você pode ver aqui a Estrela da Morte orbitando a lua florestal de Endor. Embora os sistemas de armas desta Estrela da Morte ainda não estejam operacionais, a Estrela da Morte tem um forte mecanismo de defesa. Ela é protegida por uma energia escudo, que é gerado a partir da floresta próxima Lua de Endor. O escudo deve ser desativado se qualquer ataque for tentado. Uma vez que o escudo é derrubado, nossos cruzadores criarão um perímetro, enquanto os caças voam para a superestrutura e tentam derrubar fora do reator principal."
"267" "ACKBAR" "General Calrissian se ofereceu para liderar o ataque do caça"
"268" "HAN" "Boa sorte."
"269" "HAN" "Você vai precisar."
"270" "ACKBAR" "General Madine ."
"271" "GENERAL MADINE" "Nós roubamos uma pequena nave Imperial. Disfarçada como uma nave de carga, e usando um código imperial secreto, uma equipe de ataque vai pousar na lua e desativar o gerador de escudo."
"272" "THREEPIO" "Parece perigoso."
"273" "LEIA" "Eu me pergunto quem eles encontraram para fazer isso."
"274" "GENERAL MADINE" "General Solo, sua equipe de ataque está montada?"
"275" "HAN" "Uh, minha equipe está pronta. Eu não tenho uma tripulação de comando para o ônibus espacial."
"276" "HAN" "Bem, vai ser difícil, amigo. Eu não queria falar por você."
"277" "HAN" "É um."
"278" "LEIA" "Uh, General... conte comigo."
"279" "VOZ" "Estou com você também!"
"280" "LEIA" "O que é?"
"281" "LUKE" "Pergunte-me de novo algum dia."
"282" "HAN" "Luke."
"283" "LUKE" "Oi, Han... Chewie."
"284" "THREEPIO" "\"Excitante\" dificilmente é a palavra que eu usaria."
"285" "HAN" "Olha. Eu quero que você a leve. Estou falando sério. Leve ela. Você precisa de toda a ajuda que puder. Ela é a nave mais rápida da frota."
"286" "LANDO" "Tudo bem, velho amigo. Você sabe, eu sei o que ela significa para você. Eu vou cuidar bem dela. Ela-ela não vai levar um arranhão. Tudo bem?"
"287" "HAN" "Certo. Recebi sua promessa agora. Nem um arranhão."
"288" "LANDO" "Olha, pode ir, seu pirata."
"289" "LANDO" "Boa sorte."
"290" "HAN" "Você também."
"291" "HAN" "Você a aqueceu?"
"292" "LUKE" "Sim, ela está chegando ."
"293" "HAN" "Não. Eu não acho que o Império tinha Wookiees em mente quando eles a projetaram, Chewie."
"294" "LEIA" "Ei, você está acordado?"
"295" "HAN" "Sim, eu só tenho uma sensação engraçada. Como se eu não fosse vê -la novamente."
"296" "LEIA" "Vamos, general, vamos embora."
"297" "HAN" "Certo. Chewie, vamos ver o que esse pedaço de lixo pode fazer. Pronto, pessoal?"
"298" "LUKE" "Tudo pronto."
"299" "THREEPIO" "Aqui vamos nós de novo."
"300" "HAN" "Tudo bem, espere."
"301" "VADER" "Qual é a tua ordem, meu Mestre?"
"302" "IMPERADOR" "Envie a frota para o outro lado de Endor. Lá ela ficará até ser chamada."
"303" "VADER" "E os relatórios da frota Rebelde se concentrando perto de Sullust ?"
"304" "IMPERADOR" "Não é uma preocupação. Em breve a Rebelião será esmagada e o jovem Skywalker será um de nós! Seu trabalho aqui está terminado, meu amigo. Vá para a nave de comando e aguarde minhas ordens."
"305" "VADER" "Sim, meu Mestre."
"306" "HAN" "Se eles não fizerem isso, nós vamos ter que sair daqui bem rápido, Chewie."
"307" "CONTROLADOR" "Temos você em nossa tela agora. Por favor, identifique-se."
"308" "HAN" "Shuttle Tydirium solicitando a desativação do escudo defletor."
"309" "CONTROLADOR" "Shuttle Tydirium , transmita o código de liberação para passagem do escudo."
"310" "HAN" "Início da transmissão."
"311" "LEIA" "Agora vamos descobrir se aquele código vale o preço que pagamos."
"312" "HAN" "Vai funcionar. Vai funcionar."
"313" "LUKE" "Vader está naquele navio."
"314" "HAN" "Agora não fique nervoso, Luke. Há um monte de naves de comando. Mantenha distância, Chewie, mas não pareça que você está tentando manter distância."
"315" "HAN" "Não sei. Voe casual."
"316" "LUKE" "Estou colocando a missão em perigo. Eu não deveria ter vindo."
"317" "HAN" "É sua imaginação, garoto. Vamos lá. Vamos manter um pouco de otimismo aqui."
"318" "VADER" "Para onde vai essa nave?"
"319" "PIETT" "Shuttle Tydirium , qual é a sua carga e destino?"
"320" "PILOT VOICE" "Peças e equipe técnica para a lua da floresta."
"321" "VADER" "Eles têm uma autorização de código?"
"322" "PIETT" "É um código mais antigo, senhor, mas confere. Eu estava prestes a limpá-los."
"323" "PIETT" "Devo segurá-los?"
"324" "VADER" "Não. Deixe-os comigo. Eu mesmo lidarei com eles."
"325" "PIETT" "Como desejar, meu senhor. Continue."
"326" "HAN" "Eles não vão fazer isso, Chewie."
"327" "CONTROLLER" "Shuttle Tydirium , a desativação do escudo começará imediatamente. Siga seu curso atual."
"328" "HAN" "Ok! Eu disse que ia funcionar. Sem problemas."
"329" "THREEPIO" "Ah, eu disse que era perigoso aqui."
"330" "LEIA" "Vamos tentar dar uma volta?"
"331" "HAN" "Vai levar tempo. Essa festa inteira não valerá nada se eles nos virem."
"332" "HAN" "Chewie e eu cuidaremos disso. Você fica aqui."
"333" "LUKE" "Silenciosamente, pode haver mais deles por aí."
"334" "HAN" "Ei... sou eu."
"335" "ESCUTEIRO #1" "Vá em busca de ajuda! Vá!"
"336" "LUKE" "Ótimo. Vamos lá."
"337" "LEIA" "Ali! Mais dois!"
"338" "LUKE" "Eu os vejo. Espere, Leia!"
"339" "LUKE" "Rápido! Bloqueie o comlink deles . Interruptor central!"
"340" "HAN" "Ei, espere! Ahhh !"
"341" "LUKE" "Aproxime-se!"
"342" "LUKE" "Fique ao lado daquele!"
"343" "LUKE" "Pegue-o!"
"344" "LUKE" "Continue com essa! Vou levar esses dois!"
"345" "THREEPIO" "Oh, General Solo, alguém está vindo. Oh!"
"346" "HAN" "Luke! Onde está Leia?"
"347" "LUKE" "O quê? Ela não voltou?"
"348" "HAN" "Eu pensei que ela estava com você."
"349" "LUKE" "Nós nos separamos."
"350" "LUKE" "Ei, é melhor irmos procurá-la."
