"personagem" "diálogo"
"196" "LUKE" "Essa armadura é muito forte para blasters."
"197" "LUKE" "Grupo Rouge, use seus arpões e cabos de reboque. Vá para as pernas. Pode ser nossa única chance de detê-los. Tudo bem, espere, Dack."
"198" "DACK" "Luke, temos um defeito no controle de fogo. Vou ter que cortar o auxiliar."
"199" "LUKE" "Aguente firme. Aguente firme, Dack. Prepare-se para disparar aquele cabo de reboque."
"200" "LUKE" "Dack? Dack!"
"201" "VEERS" "Sim, Lorde Vader. Alcancei o gerador de energia principal. O escudo cairá em instantes. Você pode começar a aterrissar."
"202" "LUKE" "Rouge Três."
"203" "WEDGE" "Copiar, Líder Rouge"
"204" "LUKE" "Wedge, eu perdi meu artilheiro. Você vai ter que fazer esse tiro. Eu vou cobrir você. Coloque seu arpão. Siga-me na próxima passagem."
"205" "CUNHA" "Aproximando-se, Líder Rouge."
"206" "LUKE" "Firme, Rouge Dois"
"207" "CUNHA" "Ativar arpão."
"208" "WEDGE" "Bom tiro, Janson."
"209" "CUNHA" "Mais uma passagem."
"210" "JANSON" "Aproximando-se. Mais uma vez."
"211" "JANSON" "Mais um."
"212" "JANSON" "Cabo fora! Solte-a!"
"213" "CUNHA" "Desconecte o cabo."
"214" "JANSON" "Cabo desconectado."
"215" "OFICIAL DE trincheira" "Vamos!"
"216" "WEDGE" "Whooha!! Isso o pegou!"
"217" "LUKE" "Entendo, Wedge. Bom trabalho."
"218" "RIEEKAN" "Acho que não podemos proteger dois transportes ao mesmo tempo."
"219" "LEIA" "É arriscado, mas não podemos aguentar muito mais tempo. Não temos escolha."
"220" "RIEEKAN" "Lançar patrulhas."
"221" "LEIA" "Evacuar o pessoal de terra restante."
"222" "HAN" "Não, não! Não! Este vai lá, aquele vai lá. certo?"
"223" "THREEPIO" "Artoo, você cuida bem do Mestre Luke agora, entendeu? E... cuide de si mesmo. Oh, querido, oh, querido."
"224" "VEERS" "Todas as tropas vão desembarcar para o ataque terrestre. Preparem-se para atingir o gerador principal."
"225" "LUKE" "Rouge Dois, você está bem?"
"226" "ZEV" "Sim. Estou com você, Líder Rouge."
"227" "LUKE" "Vamos colocar o arpão. Eu cubro você."
"228" "ZEV" "Vindo por aí."
"229" "LUKE" "Cuidado com o fogo cruzado, rapazes."
"230" "ZEV" "Definido para a posição três. Estável."
"231" "LUKE" "Fique firme e abaixado."
"232" "LUKE" "Hobbie, fui atingido!"
"233" "HAN" "Você está bem?"
"234" "LEIA" "Por que você ainda está aqui?"
"235" "HAN" "Ouvi dizer que o centro de comando foi atingido."
"236" "LEIA" "Você tem autorização para sair."
"237" "HAN" "Não se preocupe. Eu vou embora. Primeiro eu vou levar você para o seu navio."
"238" "THREEPIO" "Vossa Alteza, devemos pegar este último transporte. É nossa única esperança."
"239" "LEIA" "Envie todas as tropas do setor doze para a encosta sul para proteger os combatentes."
"240" "LOCUTOR" "Tropas imperiais entraram na base."
"241" "HAN" "Vamos lá... é isso."
"242" "LEIA" "Dê o sinal do código de evacuação. E vá para os seus transportes!"
"243" "CONTROLADOR PRINCIPAL" "K-um-zero... todas as tropas se desengajam."
"244" "THREEPIO" "Oh! Espere por mim!"
"245" "OFICIAL" "Comece a retirada!"
"246" "SEGUNDA OFICIAL" "Recuar!"
"247" "VIAR" "Distância para geradores de energia?"
"248" "PILOTO" "Um-sete, decimal dois-oito."
"249" "VIAR" "Alvo. Poder de fogo máximo."
"250" "HAN" "Transporte, aqui é Solo. Melhor decolar -- não posso chegar até você. Vou tirar a princesa no Falcon."
"251" "THREEPIO" "Mas... mas... mas... aonde você vai? Uh... volte!!"
"252" "THREEPIO" "Espere! Espere por mim! Espere! Pare!"
"253" "THREEPIO" "Que típico."
"254" "HAN" "Vamos."
"255" "HAN" "Apresse-se, Goldenrod, ou você será um residente permanente!"
"256" "THREEPIO" "Espere! Espere!"
"257" "HAN" "Como é isso?"
"258" "LEIA" "Ajudaria se eu saísse e empurrasse?"
"259" "HAN" "Pode."
"260" "THREEPIO" "Capitão Solo, Capitão Solo... senhor, posso sugerir que você..."
"261" "THREEPIO" "Pode esperar."
"262" "LEIA" "O balde de ferrolhos nunca vai nos fazer passar por esse bloqueio."
"263" "HAN" "Este bebê ainda tem algumas surpresas nela, querida."
"264" "HAN" "Vamos! Vamos! Mude. Vamos torcer para que não tenhamos um esgotamento."
"265" "HAN" "Viu?"
"266" "LEIA" "Algum dia você vai errar, e espero estar lá para ver."
"267" "HAN" "Soque!"
"268" "LUKE" "Artoo! Prepare-a para a decolagem."
"269" "WEDGE" "Boa sorte, Luke. Vejo você no encontro."
"270" "LUKE" "Não se preocupe, Artoo. Estamos indo, estamos indo."
"271" "LUKE" "Não há nada de errado, Artoo. Estou apenas estabelecendo um novo curso."
"272" "LUKE" "Não vamos nos reagrupar com os outros."
"273" "LUKE" "Estamos indo para o sistema Dagobah."
"274" "LUKE" "Sim, Artoo?"
"275" "LUKE" "Tudo bem. Eu gostaria de mantê-lo no controle manual por um tempo."
"276" "HAN" "Eu os vi! Eu os vi!"
"277" "LEIA" "Viu o quê?"
"278" "HAN" "Star Destroyers, dois deles, vindo direto para nós."
"279" "THREEPIO" "Senhor, senhor! Posso sugerir..."
"280" "HAN" "Cale-o ou desligue-o! Verifique o escudo defletor!"
"281" "HAN" "Ah, ótimo. Bem, ainda podemos vencê-los."
"282" "OFICIAL IMPERIAL" "Tome uma ação evasiva!"
"283" "HAN" "Prepare-se para saltar para a velocidade da luz."
"284" "THREEPIO" "Mas, senhor!"
"285" "LEIA" "Eles estão se aproximando!"
"286" "HAN" "Ah é? Veja isso."
"287" "LEIA" "Assistir o quê?"
"288" "HAN" "Acho que estamos com problemas."
"289" "THREEPIO" "Se me permite dizer, senhor, notei anteriormente que o motivador do hiperpropulsor foi danificado. É impossível ir à velocidade da luz!"
"290" "HAN" "Estamos com problemas!"
"291" "HAN" "Reforços horizontais...!"
"292" "HAN" "Amortecedores aluviais...! Bem, não é isso."
"293" "HAN" "Traga-me as chaves hidráulicas!"
"294" "HAN" "Eu não sei como vamos sair dessa."
"295" "HAN" "Oww! Chewie!"
"296" "HAN" "Isso não foi uma explosão de laser! Algo nos atingiu."
"297" "LEIA" "Han, suba aqui!"
"298" "HAN" "Vamos, Chewie!"
"299" "LEIA" "Asteróides!"
"300" "HAN" "Ah, não! Chewie, coloque dois-sete-um."
"301" "LEIA" "O que você está fazendo? Você não está realmente entrando em um campo de asteróides?"
"302" "HAN" "Eles seriam loucos para nos seguir, não seria?"
"303" "LEIA" "Você não precisa fazer isso para me impressionar."
"304" "THREEPIO" "Senhor, a possibilidade de navegar com sucesso em um campo de asteróides é de aproximadamente três mil, setecentos e vinte para um."
"305" "HAN" "Nunca me diga as probabilidades!"
"306" "HAN" "Você disse que queria estar por perto quando eu cometi um erro; bem, pode ser isso, querida."
"307" "LEIA" "Eu retiro. Vamos ser pulverizados se ficarmos aqui muito mais tempo."
"308" "HAN" "Eu não vou discutir com isso."
"309" "THREEPIO" "Pulverizado?"
"310" "HAN" "Vou me aproximar de um dos grandes."
"311" "LEIA" "Mais perto?"
"312" "THREEPIO" "Mais perto?!"
"313" "THREEPIO" "Ah, isso é suicídio!"
"314" "HAN" "Pronto. Parece muito bom."
"315" "LEIA" "O que parece muito bom?"
"316" "HAN" "Sim. Isso vai servir bem."
"317" "THREEPIO" "Com licença, senhora, mas para onde vamos?"
"318" "LEIA" "Espero que saiba o que está fazendo."
"319" "HAN" "Sim, eu também."
"320" "LUKE" "Sim, é isso. Dagobah."
"321" "LUKE" "Não, eu não vou mudar de ideia sobre isso. Eu não estou pegando nenhuma cidade ou tecnologia. Leituras massivas de formas de vida, no entanto. Há algo vivo lá embaixo..."
"322" "LUKE" "Sim, tenho certeza que é perfeitamente seguro para droides."
"323" "LUKE" "Eu sei, eu sei! Todos os escopos estão mortos. Não consigo ver nada! Apenas espere, vou começar o ciclo de pouso..."
"324" "LUKE" "Não, Artoo, fique aí. Vou dar uma olhada."
"325" "LUKE" "Artoo?"
"326" "LUKE" "Artoo! Onde você está?"
"327" "LUKE" "Artoo! Tenha mais cuidado."
"328" "LUKE" "Artoo -- por ali!"
"329" "LUKE" "Artoo!"
"330" "LUKE" "Ah, não! Você está bem? Vamos lá. Você tem sorte de não ter um gosto muito bom. Alguma coisa quebrada?"
"331" "LUKE" "Se você está dizendo que vir aqui foi uma má ideia, estou começando a concordar com você. Oh, Artoo, o que estamos fazendo aqui? É como... algo saído de um sonho, ou , eu não sei. Talvez eu esteja apenas enlouquecendo."
"332" "VADER" "Sim, Almirante?"
"333" "PIETT" "Nossas naves avistaram a Millennium Falcon, senhor. Mas... ela entrou em um campo de asteróides e não podemos arriscar..."
"334" "VADER" "Asteróides não me preocupam, Almirante. Eu quero aquela nave e não desculpas."
"335" "PIETT" "Sim, senhor."
"336" "HAN" "Vou desligar tudo menos os sistemas de energia de emergência."
"337" "THREEPIO" "Senhor, estou quase com medo de perguntar, mas... isso inclui me desligar também?"
"338" "HAN" "Não, eu preciso que você fale com o Falcon, descubra o que há de errado com o hyperdrive."
"339" "THREEPIO" "Senhor, é bem possível que este asteróide não seja totalmente estável."
"340" "HAN" "Não totalmente estável? Estou feliz que você esteja aqui para nos dizer essas coisas. Chewie, pegue o professor nas costas e ligue-o no hiperdrive."
"341" "THREEPIO" "Ah! Às vezes eu simplesmente não entendo o comportamento humano. Afinal, eu só estou tentando fazer o meu trabalho da forma mais..."
"342" "LEIA" "Deixe ir."
"343" "HAN" "Sshh!"
"344" "LEIA" "Solte, por favor."
"345" "HAN" "Não fique animado."
"346" "LEIA" "Capitão, ser segurado por você não é o bastante para me excitar."
"347" "HAN" "Desculpe, querida. Não temos tempo para mais nada."
"348" "LUKE" "Pronto para um pouco de energia? Ok. Vamos ver agora. Coloque isso aí. Pronto."
"349" "LUKE" "Agora tudo o que tenho que fazer é encontrar esse Yoda... se é que ele existe."
"350" "LUKE" "Ainda assim... há algo familiar sobre este lugar. Eu sinto que... eu não sei..."
"351" "VOZ ESTRANHA" "Sentir como o quê?"
"352" "LUKE" "Como se estivéssemos sendo observados!"
"353" "CRIATURA" "Fora com sua arma! Não quero te fazer mal."
"354" "CRIATURA" "Estou me perguntando, por que você está aqui?"
"355" "LUKE" "Estou procurando alguém."
"356" "CRIATURA" "Procurando? Encontrou alguém, você tem, eu diria, hmmm?"
"357" "LUKE" "Certo."
"358" "CRIATURA" "Eu posso te ajudar. Sim, mmmm."
"359" "LUKE" "Acho que não. Estou procurando um grande guerreiro."
"360" "CRIATURA" "Ahhh! Um grande guerreiro. As guerras não fazem um grande."
"361" "LUKE" "Abaixe isso. Ei! Esse é o meu jantar."
"362" "CRIATURA" "Como você fica tão grande, comendo comida desse tipo?"
"363" "LUKE" "Ouça, amigo, não queríamos pousar naquela poça, e se pudéssemos tirar nossa nave, faríamos, mas não podemos, então por que você não... "
"364" "CRIATURA" "Ah, não consegue tirar sua nave?"
"365" "LUKE" "Ei, você poderia ter quebrado isso. Não faça isso. Ohhh... você está fazendo uma bagunça. Ei, me dê isso!"
"366" "CRIATURA" "Minha! Ou eu não vou te ajudar."
"367" "LUKE" "Não quero sua ajuda. Quero minha lâmpada de volta. Vou precisar dela para sair desse lamaçal viscoso."
"368" "CRIATURA" "Mudhole? Slimy? Minha casa é esta."
"369" "CRIATURA" "Ah, ah, ah!"
"370" "LUKE" "Ah, Artoo, deixe ele ficar com ele."
"371" "CRIATURA" "Meu! Meu!"
"372" "LUKE" "Artoo!"
"373" "CRIATURA" "Minha!"
"374" "CRIATURA" "Minha!"
"375" "LUKE" "Agora você vai seguir em frente, amiguinho? Temos muito trabalho a fazer."
"376" "CRIATURA" "Não! Não, não! Ficar e ajudá-lo, eu vou. Encontre seu amigo, hmm?"
"377" "LUKE" "Não estou procurando um amigo, estou procurando um Mestre Jedi."
"378" "CRIATURA" "Oohhh. Mestre Jedi. Yoda. Você procura Yoda."
"379" "LUKE" "Você o conhece?"
"380" "CRIATURA" "Mmm. Levo você até ele, eu vou. Sim, sim. Mas agora, devemos comer. Venha. Boa comida. Venha."
"381" "CRIATURA" "Venha, venha."
"382" "LUKE" "Fique aqui e cuide do acampamento, Artoo."
"383" "THREEPIO" "Oh, onde está Artoo quando eu preciso dele?"
"384" "THREEPIO" "Senhor, não sei onde sua nave aprendeu a se comunicar, mas tem o dialeto mais peculiar. Acredito, senhor, diz que o acoplamento de energia no eixo negativo foi polarizado. temo que você terá que substituí-lo."
"385" "HAN" "Bem, é claro que terei que substituí-lo."
"386" "HAN" "Aqui! E Chewie..."
"387" "HAN" "...Acho melhor substituir o acoplamento de potência negativa."
"388" "HAN" "Ei, Meritíssimo, só estou tentando ajudar."
"389" "LEIA" "Você poderia, por favor, parar de me chamar assim?"
"390" "HAN" "Claro, Leia."
"391" "LEIA" "Ah, às vezes você dificulta tanto."
"392" "HAN" "Eu gosto, eu realmente gosto. Você poderia ser um pouco mais legal, no entanto. Vamos, admita. Às vezes você acha que eu estou bem."
"393" "LEIA" "Ocasionalmente talvez... quando você não está agindo como um canalha."
"394" "HAN" "Scaundrel? Scoundrel? Eu gosto do som disso."
"395" "LEIA" "Pare com isso."
"396" "HAN" "Parar o quê?"
"397" "LEIA" "Pare com isso! Minhas mãos estão sujas."
"398" "HAN" "Minhas mãos também estão sujas. Do que você tem medo?"
