"personagem" "diálogo"
"28" "CAMIE" "Era apenas Wormie em outro ataque."
"29" "LUKE" "Dêem forma a vocês!... Biggs?"
"30" "LUKE" "Eu não sabia que você estava de volta! Quando você entrou?"
"31" "BIGGS" "Só agora. Eu queria fazer uma surpresa para você, figurão. Achei que você estaria aqui... certamente não esperava que você estivesse trabalhando."
"32" "LUKE" "A Academia não mudou muito você... mas você voltou tão cedo? Ei, o que aconteceu, você não recebeu sua comissão?"
"33" "BIGGS" "Claro que entendi. Assinei a bordo do Rand Ecliptic na semana passada. Primeiro imediato Biggs Darklighter ao seu serviço... Acabei de voltar para dizer adeus a todos vocês desafortunados simplórios sem litoral."
"34" "LUKE" "Quase me esqueci. Há uma batalha acontecendo! Bem aqui em nosso sistema. Venha e olhe!"
"35" "DEAK" "De novo não! Esqueça."
"36" "LUKE" "Lá estão eles!"
"37" "BIGGS" "Isso não é uma batalha, atirador... eles estão apenas sentados lá! Provavelmente um reabastecimento de um cargueiro-tanque."
"38" "LUKE" "Mas houve muitos disparos antes..."
"39" "LUKE" "Ei, calma com isso..."
"40" "CAMIE" "Não se preocupe com isso, Wormie."
"41" "FIXER" "Eu continuo dizendo a você, a Rebelião está muito longe daqui. Duvido que o Império lutaria para manter este sistema. Acredite em mim Luke, este planeta é um grande pedaço de nada..."
"42" "LEIA" "Lorde Vader, eu deveria saber. Só você poderia ser tão ousado. O Senado Imperial não vai ficar parado por isso, quando souberem que você atacou um diplomata..."
"43" "VADER" "Não brinque comigo, Alteza. Você não estava em nenhuma missão de misericórdia desta vez. Você passou diretamente por um sistema restrito. Várias transmissões foram enviadas para esta nave por espiões rebeldes. Eu quero para saber o que aconteceu com os planos que eles enviaram para você."
"44" "LEIA" "Não sei do que está falando. Sou membro do Senado Imperial em missão diplomática em Alderaan..."
"45" "VADER" "Você faz parte da Aliança Rebelde... e um traidor. Leve-a embora!"
"46" "COMANDANTE" "Segurá-la é perigoso. Se a notícia se espalhar, pode gerar simpatia pela Rebelião no Senado."
"47" "VADER" "Eu rastreei os espiões rebeldes até ela. Agora ela é meu único link para encontrar a base secreta deles!"
"48" "COMANDANTE" "você qualquer coisa."
"49" "VADER" "Deixe isso comigo. Envie um sinal de socorro e depois informe ao Senado que todos a bordo foram mortos!"
"50" "SEGUNDO OFICIAL" "Lorde Vader, os planos da estação de batalha não estão a bordo desta nave! E nenhuma transmissão foi feita. Uma cápsula de fuga foi descartada durante a luta, mas nenhuma forma de vida estava a bordo."
"51" "VADER" "Ela deve ter escondido os planos na cápsula de fuga. Envie um destacamento para recuperá-los. Cuide disso pessoalmente, Comandante. Não haverá ninguém para nos parar desta vez."
"52" "COMANDANTE" "Sim, senhor."
"53" "THREEPIO" "Como eu entrei nessa confusão? Eu realmente não sei como. Parece que somos feitos para sofrer. É o nosso destino na vida."
"54" "THREEPIO" "Tenho que descansar antes de desmoronar. Minhas articulações estão quase congeladas."
"55" "THREEPIO" "Que lugar desolado é este."
"56" "THREEPIO" "Onde você vai?"
"57" "THREEPIO" "Bem, eu não vou por esse caminho. É muito rochoso. Assim é muito mais fácil."
"58" "THREEPIO" "O que faz você pensar que existem assentamentos por lá?"
"59" "THREEPIO" "Não seja técnico comigo."
"60" "THREEPIO" "Que missão? Do que você está falando? Eu já tive o suficiente de você! Vá por ali! Você estará com defeito em um dia, sua pilha de sucata míope!"
"61" "THREEPIO" "E não me deixe pegar você me seguindo implorando por ajuda, porque você não vai conseguir."
"62" "THREEPIO" "Chega de aventuras. Não vou para lá."
"63" "THREEPIO" "Aquele idiota com defeito. Isso é tudo culpa dele! Ele me enganou para ir por aqui, mas não vai fazer melhor."
"64" "THREEPIO" "Espere, o que é isso? Um transporte! Estou salvo!"
"65" "THREEPIO" "Aqui! Socorro! Por favor, socorro!"
"66" "LUKE" "... então eu cortei minha energia, desliguei os pós-combustores e entrei no rastro de Deak. Eu estava tão perto que pensei que ia fritar meus instrumentos. Skyhopper muito ruim. Tio Owen estava muito chateado. Ele me deixou de castigo pelo resto da temporada. Você deveria ter estado lá... foi fantástico."
"67" "BIGGS" "Você deveria ter um pouco mais de calma Luke. Você pode ser o piloto mais quente deste lado de Mos Eisley, mas esses pequenos Skyhoppers são perigosos. Continue assim, e um dia, wammo, você vai ser nada mais do que uma mancha escura no lado de baixo de uma parede de cânion."
"68" "LUKE" "Olha quem está falando. Agora que você esteve perto dessas naves gigantes, você está começando a parecer meu tio. Você ficou mole na cidade..."
"69" "BIGGS" "Senti sua falta garoto."
"70" "LUKE" "Bem, as coisas não têm sido as mesmas desde que você partiu, Biggs. Tem sido tão... quieto."
"71" "BIGGS" "Luke, eu não voltei só para me despedir... eu não deveria te dizer isso, mas você é o único em quem posso confiar... e se eu não for de volta, eu quero que alguém saiba."
"72" "LUKE" "Do que você está falando?"
"73" "BIGGS" "Fiz alguns amigos na Academia... quando nossa fragata for para um dos sistemas centrais, vamos pular do navio e nos juntar à Aliança..."
"74" "LUKE" "Junte-se à Rebelião?! Você está brincando! Como?"
"75" "BIGGS" "Acalme-se! Você tem uma boca maior que uma cratera de meteoro!"
"76" "LUKE" "Desculpe. Estou quieto. Ouça como estou quieto. Você mal consegue me ouvir..."
"77" "BIGGS" "Meu amigo tem um amigo no Bestine que pode nos ajudar a fazer contato."
"78" "LUKE" "sempre tentando encontrá-los."
"79" "BIGGS" "Eu sei que é um tiro no escuro, mas se eu não encontrá-los, farei o que puder sozinho... É sobre o que sempre conversamos. Luke, não vou espere que o Império me coloque em serviço. A Rebelião está se espalhando e eu quero estar do lado certo - do lado em que acredito."
"80" "LUKE" "E eu estou preso aqui..."
"81" "BIGGS" "Pensei que você fosse para a Academia no próximo semestre. Você terá a chance de sair dessa rocha."
"82" "LUKE" "Não é provável! Tive que cancelar minha inscrição. Tem havido muita agitação entre o Povo da Areia desde que você partiu... eles até invadiram os arredores de Anchorhead."
"83" "BIGGS" "Seu tio poderia deter uma colônia inteira de Povos da Areia com um blaster."
"84" "LUKE" "Eu sei, mas ele tem vaporizadores suficientes para fazer o lugar valer a pena. Ele precisa de mim por apenas mais uma temporada. Não posso deixá-lo agora."
"85" "BIGGS" "Sinto por você, Luke, você vai ter que aprender o que parece ser importante ou o que realmente é importante. De que adianta todo o trabalho do seu tio se for tomado pelo Império?... Você sabe que eles estão começando a nacionalizar o comércio nos sistemas centrais... não demorará muito para que seu tio seja apenas um inquilino, escravizando para a maior glória do Império.
"86" "LUKE" "Não poderia acontecer aqui. Você mesmo disse. O Império não vai se incomodar com essa pedra."
"87" "BIGGS" "As coisas sempre mudam."
"88" "LUKE" "Eu gostaria de ir... Você vai ficar muito tempo aqui?"
"89" "BIGGS" "Não, estou saindo de manhã..."
"90" "LUKE" "Então acho que não vou te ver."
"91" "BIGGS" "Talvez um dia... eu fique de olho."
"92" "LUKE" "Bem, estarei na Academia na próxima temporada... depois disso quem sabe. Não serei convocado para a Frota Estelar Imperial, com certeza... Cuide-se, você vai sempre ser o melhor amigo que eu tenho."
"93" "BIGGS" "Até logo, Luke."
"94" "THREEPIO" "Artoo-Detoo! É você! É você!"
"95" "FIRST TROOPER" "Alguém estava na cápsula. Os rastros seguem nesta direção."
"96" "SEGUNDO SOLDADO" "Olhe, senhor - droides."
"97" "THREEPIO" "Acorde! Acorde!"
"98" "THREEPIO" "Estamos condenados."
"99" "THREEPIO" "Você acha que eles vão nos derreter?"
"100" "THREEPIO" "Não atire! Não atire! Isso nunca vai acabar?"
"101" "BERU" "Luke, diga ao Owen que se ele conseguir um tradutor para ter certeza de que fala bocha."
"102" "LUKE" "Parece que não temos muita escolha, mas vou lembrá-lo."
"103" "OWEN" "Não preciso de um dróide de protocolo."
"104" "THREEPIO" "Senhor - não em um ambiente como este - é por isso que também fui programado para mais de trinta funções secundárias que..."
"105" "OWEN" "O que eu realmente preciso é de um droide que entenda as linguagens binárias dos vaporizadores de umidade."
"106" "THREEPIO" "Vaporadores! Senhor - Meu primeiro trabalho foi programar elevadores de carga binários... muito semelhantes aos seus vaporizadores. Você poderia dizer..."
"107" "OWEN" "Você fala bocha?"
"108" "THREEPIO" "Claro que posso, senhor. É como uma segunda língua para mim... sou tão fluente em bocha..."
"109" "OWEN" "Tudo bem; cale a boca! Vou ficar com este."
"110" "THREEPIO" "Cala a boca, senhor."
"111" "OWEN" "Luke, leve esses dois para a garagem, sim? Eu quero que você limpe os dois antes do jantar."
"112" "LUKE" "Mas eu estava entrando na Toshi Station para pegar alguns conversores de energia..."
"113" "OWEN" "Você pode perder tempo com seus amigos quando suas tarefas terminarem. Agora, vamos lá, mãos à obra!"
"114" "LUKE" "Tudo bem, vamos! E o vermelho, vamos. Bem, vamos, Vermelho, vamos."
"115" "LUKE" "Tio Owen..."
"116" "OWEN" "Sim?"
"117" "LUKE" "Esta unidade R2 tem um motivador ruim. Olhe!"
"118" "OWEN" "Ei, o que você está tentando empurrar para nós?"
"119" "THREEPIO" "Com licença, senhor, mas essa unidade R2 está em ótimas condições. Uma verdadeira pechincha."
"120" "LUKE" "Tio Owen..."
"121" "OWEN" "Sim?"
"122" "LUKE" "E aquele?"
"123" "OWEN" "E aquele azul? Vamos levar aquele."
"124" "LUKE" "Sim, tire isso."
"125" "THREEPIO" "Uh, eu tenho certeza que você ficará muito satisfeito com isso, senhor. Ele realmente está em condições de primeira classe. Eu já trabalhei com ele antes. Lá vem ele."
"126" "LUKE" "Ok, vamos."
"127" "THREEPIO" "Agora, não se esqueça disso! Por que eu deveria arriscar meu pescoço por você está muito além da minha capacidade!"
"128" "THREEPIO" "Obrigado ao fabricante! Este banho de óleo vai ser tão bom. Estou com um caso tão grave de contaminação por poeira que mal consigo me mexer!"
"129" "LUKE" "Não é justo. Oh, Biggs está certo. Eu nunca vou sair daqui!"
"130" "THREEPIO" "Há algo que eu possa fazer para ajudar?"
"131" "LUKE" "Bem, a menos que você possa alterar o tempo, acelerar a colheita ou me teletransportar para fora desta rocha!"
"132" "THREEPIO" "Acho que não, senhor. Sou apenas um droide e não tenho muito conhecimento sobre essas coisas. Não neste planeta, de qualquer maneira. Na verdade, nem tenho certeza de qual planeta em que estou."
"133" "LUKE" "Bem, se há um centro brilhante no universo, você está no planeta mais distante."
"134" "THREEPIO" "Entendo, senhor."
"135" "LUKE" "Uh, você pode me chamar de Luke."
"136" "THREEPIO" "Entendo, senhor Luke."
"137" "LUKE" "Só Luke."
"138" "THREEPIO" "E eu sou See-Threepio, relações humano-ciborgue, e esta é minha contraparte, Artoo-Detoo."
"139" "LUKE" "Olá."
"140" "LUKE" "Você tem um monte de pontuação de carbono aqui. Parece que vocês rapazes viram muita ação."
"141" "THREEPIO" "Com tudo o que passamos, às vezes fico surpreso por estarmos em tão boas condições quanto estamos, com a Rebelião e tudo mais."
"142" "LUKE" "Você sabe da Rebelião contra o Império?"
"143" "THREEPIO" "Foi assim que chegamos a seu serviço, se é que me entende, senhor."
"144" "LUKE" "Você esteve em muitas batalhas?"
"145" "THREEPIO" "Vários, eu acho. Na verdade, não há muito para contar. Eu não sou muito mais do que um intérprete, e não sou muito bom em contar histórias. Bem, não em torná-las interessantes, de qualquer maneira."
"146" "LUKE" "Bem, meu amiguinho, você tem algo muito bom aqui. Você estava em um cruzador estelar ou..."
"147" "LEIA" "Ajude-me, Obi-Wan Kenobi. Você é minha única esperança."
"148" "LUKE" "O que é isso?"
"149" "THREEPIO" "O que é o quê?!? Ele te fez uma pergunta... O que é isso?"
"150" "LEIA" "Ajude-me, Obi-Wan Kenobi. Você é minha única esperança. Ajude-me, Obi-Wan Kenobi. Você é minha única esperança."
"151" "THREEPIO" "Ah, ele diz que não é nada, senhor. Apenas um mau funcionamento. Dados antigos. Não ligue para isso."
"152" "LUKE" "Quem é ela? Ela é linda."
"153" "THREEPIO" "Acho que não tenho certeza, senhor."
"154" "LEIA" "Ajude-me, Obi-Wan Kenobi..."
"155" "THREEPIO" "Acho que ela era uma passageira em nossa última viagem. Uma pessoa de alguma importância, senhor - acredito. Nosso capitão estava ligado a..."
"156" "LUKE" "Há mais alguma coisa nessa gravação?"
"157" "THREEPIO" "Comporte-se, Artoo. Você vai nos colocar em apuros. Está tudo bem, você pode confiar nele. Ele é nosso novo mestre."
"158" "THREEPIO" "Ele diz que é propriedade de Obi-Wan Kenobi, um morador por aqui. E é uma mensagem particular para ele. Francamente, senhor, não sei do que ele está falando. Nosso último mestre era o Capitão Antilles, mas com o que passamos, essa pequena unidade R2 se tornou um pouco excêntrica."
"159" "LUKE" "Obi-Wan Kenobi? Será que ele quer dizer o velho Ben Kenobi?"
"160" "THREEPIO" "Desculpe, senhor, mas você sabe do que ele está falando?"
"161" "LUKE" "Bem, eu não conheço ninguém chamado Obi-Wan, mas o velho Ben mora além do mar das dunas. Ele é meio que um velho eremita estranho."
"162" "LUKE" "Eu me pergunto quem ela é. Parece que ela está com problemas. É melhor eu reproduzir a coisa toda."
"163" "THREEPIO" "Ele diz que o parafuso de restrição causou um curto-circuito em seu sistema de gravação. Ele sugere que, se você remover o parafuso, ele poderá reproduzir a gravação inteira."
"164" "LUKE" "Hm? Oh, sim, bem, eu acho que você é muito pequeno para fugir de mim se eu tirar isso! Ok."
"165" "LUKE" "Aí está."
"166" "LUKE" "Bem, espere um minuto. Para onde ela foi? Traga-a de volta! Reproduza a mensagem inteira."
"167" "THREEPIO" "estou tocando. O que você está carregando dentro de suas entranhas enferrujadas!"
"168" "TIA BERU" "Luke? Luke! Venha jantar!"
"169" "LUKE" "Tudo bem, já estarei aí, tia Beru."
"170" "THREEPIO" "Sinto muito, senhor, mas ele parece ter pegado uma leve vibração."
"171" "LUKE" "Bem, veja o que você pode fazer com ele. Eu já volto."
"172" "THREEPIO" "Apenas reconsidere jogar essa mensagem para ele."
"173" "THREEPIO" "Não, acho que ele não gosta nada de você."
"174" "THREEPIO" "Não, eu também não gosto de você."
"175" "LUKE" "Sabe, acho que aquela unidade R2 que compramos pode ter sido roubada."
"176" "OWEN" "O que te faz pensar isso?"
"177" "LUKE" "Bem, eu encontrei uma gravação enquanto estava limpando ele. Ele diz que pertence a alguém chamado Obi-Wan Kenobi."
"178" "LUKE" "Pensei que ele pudesse estar se referindo a Ben. Você sabe do que ele está falando? Bem, eu me pergunto se ele é parente de Ben."
"179" "OWEN" "Aquele velho é apenas um mago maluco. Amanhã eu quero que você leve aquela unidade R2 para Anchorhead e tenha sua memória limpa. Isso será o fim de tudo. Ela pertence a nós agora."
"180" "LUKE" "Mas e se esse Obi-Wan vier procurá-lo?"
"181" "OWEN" "Ele não vai, acho que não existe mais. Ele morreu mais ou menos na mesma época que seu pai."
"182" "LUKE" "Ele conhecia meu pai?"
"183" "OWEN" "Eu disse para você esquecer. Sua única preocupação é preparar os novos droides para amanhã. De manhã eu os quero no cume sul trabalhando nesses condensadores."
"184" "LUKE" "Sim, senhor. Acho que esses novos droides vão funcionar bem. Na verdade, eu, uh, também estava pensando em nosso acordo sobre minha permanência em outra temporada. E se esses novos droides funcionarem fora, quero transmitir minha inscrição para a Academia este ano."
"185" "OWEN" "Você quer dizer o próximo semestre antes da colheita?"
"186" "LUKE" "Claro, há dróides mais do que suficientes."
"187" "OWEN" "A colheita é quando eu mais preciso de você. Só mais uma temporada. Este ano vamos fazer o suficiente na colheita para que eu possa contratar mais algumas mãos. E então você pode ir para o Academia no ano que vem."
"188" "OWEN" "Você deve entender que eu preciso de você aqui, Luke."
"189" "LUKE" "Mas é um ano inteiro."
"190" "OWEN" "Olha, é só mais uma temporada."
"191" "LUKE" "É, foi isso que você disse ano passado quando Biggs e Tank foram embora."
"192" "TIA BERU" "Onde você vai?"
"193" "LUKE" "Parece que não vou a lugar nenhum. Tenho que terminar de limpar esses droides."
"194" "TIA BERU" "Owen, ele não pode ficar aqui para sempre. A maioria de seus amigos se foi. Significa muito para ele."
"195" "OWEN" "Vou fazer as pazes com ele no ano que vem. Eu prometo."
"196" "TIA BERU" "Luke não é um fazendeiro, Owen. Ele tem muito do pai nele."
"197" "OWEN" "É disso que tenho medo."
"198" "LUKE" "O que você está fazendo escondido aí?"
"199" "THREEPIO" "Não foi minha culpa, senhor. Por favor, não me desative. Eu disse a ele para não ir, mas ele está com defeito, com defeito; continuou tagarelando sobre sua missão."
"200" "LUKE" "Ah, não!"
"201" "THREEPIO" "Aquela unidade R2 sempre foi um problema. Esses astrodroides estão ficando fora de controle. Nem eu consigo entender a lógica deles às vezes."
"202" "LUKE" "Como eu pude ser tão estúpido? Ele não está à vista. Que droga!"
"203" "THREEPIO" "Perdoe-me, senhor, mas não poderíamos ir atrás dele?"
"204" "LUKE" "É muito perigoso com todo o Povo da Areia ao redor. Teremos que esperar até de manhã."
"205" "OWEN" "Luke, vou desligar a energia esta noite."
"206" "LUKE" "Tudo bem, estarei aí em alguns minutos. Cara, eu vou pegar."
"207" "LUKE" "Você sabe que aquele pequeno droide vai me causar muitos problemas."
"208" "THREEPIO" "Oh, ele é excelente nisso, senhor."
"209" "OWEN" "Luke? Luke? Luke? Onde ele poderia estar vadiando agora!"
"210" "OWEN" "Você viu Luke esta manhã?"
"211" "TIA BERU" "Ele disse que tinha algumas coisas para fazer antes de começar hoje, então ele saiu mais cedo."
"212" "OWEN" "Uh? Ele levou esses dois novos droides com ele?"
"213" "TIA BERU" "Acho que sim."
"214" "OWEN" "Bem, é melhor ele mandar consertar aquelas unidades na faixa sul ao meio-dia ou vai ser um inferno a pagar!"
"215" "LUKE" "Como assim."
"216" "LUKE" "O velho Ben Kenobi mora nesta direção em algum lugar, mas não vejo como aquela unidade R2 poderia ter chegado tão longe. Devemos ter perdido ele. Tio Owen não vai aceitar isso muito bem. ."
"217" "THREEPIO" "Senhor, ajudaria se você dissesse a ele que foi minha culpa."
"218" "LUKE" "Claro. Ele precisa de você. Ele provavelmente só desativaria você por um ou dois dias..."
"219" "THREEPIO" "Desativar! Bem, por outro lado, se você não tivesse removido o parafuso de retenção dele..."
"220" "LUKE" "Espere, há algo morto à frente no scanner. Parece que nosso droide... pisou no acelerador."
"221" "LUKE" "Ei, uau, aonde você pensa que está indo?"
"222" "THREEPIO" "Mestre Luke aqui é o seu legítimo dono. Não vamos ter mais essa bobagem de Obi-Wan Kenobi... e não fale comigo sobre sua missão também. Você tem sorte que ele não não explodir você em um milhão de pedaços bem aqui."
"223" "LUKE" "Bem, vamos lá. Está ficando tarde. Só espero que possamos voltar antes que o tio Owen realmente exploda."
"224" "THREEPIO" "Se não se importa que eu diga, senhor, acho que deveria desativar o pequeno fugitivo até levá-lo de volta à sua oficina."
"225" "LUKE" "Não, ele não vai tentar nada."
"226" "LUKE" "O que há de errado com ele agora?"
"227" "THREEPIO" "Oh meu... senhor, ele diz que há várias criaturas se aproximando do sudeste."
"228" "LUKE" "Pessoa da Areia! Ou pior! Vamos, vamos dar uma olhada. Vamos."
"229" "LUKE" "Há dois Banthas lá embaixo, mas eu não vejo nenhum... espere um segundo, eles são do Povo da Areia. Eu posso ver um deles agora."
"230" "BEN" "Olá! Venha cá meu amiguinho. Não tenha medo."
"231" "BEN" "Não se preocupe, ele vai ficar bem."
"232" "LUKE" "O que aconteceu?"
"233" "BEN" "Descanse, filho, você teve um dia agitado. Você tem sorte de ainda estar inteiro."
"234" "LUKE" "Ben? Ben Kenobi! Rapaz, estou feliz em ver você!"
"235" "BEN" "Os Ermos de Jundland não devem ser percorridos de ânimo leve. Diga-me, jovem Luke, o que o traz até aqui?"
"236" "LUKE" "Ah, esse pequeno droide! Acho que ele está procurando por seu antigo mestre... nunca vi tanta devoção em um droide antes... parece que não há como pará-lo. Ele afirma ser o propriedade de um Obi-Wan Kenobi. Ele é um parente seu? Você sabe de quem ele está falando?
"237" "BEN" "Obi-Wan Kenobi... Obi-Wan? Esse é um nome que eu não ouvia há muito tempo... muito tempo."
"238" "LUKE" "Acho que meu tio o conhecia. Ele disse que estava morto."
"239" "BEN" "Oh, ele não está morto, não... ainda não."
"240" "LUKE" "Você o conhece!"
"241" "BEN" "Bem, é claro, é claro que eu o conheço. Ele sou eu! Eu não uso o nome Obi-Wan desde oh, antes de você nascer."
"242" "LUKE" "Então o droide pertence a você."
"243" "BEN" "Não me lembro de ter tido um droide. Muito interessante..."
"244" "BEN" "Acho melhor entrarmos em casa. O Povo da Areia se assusta facilmente, mas logo estará de volta e em maior número."
"245" "LUKE" "... Threepio!"
"246" "THREEPIO" "Onde estou? Devo ter dado um mau passo..."
"247" "LUKE" "Você pode ficar de pé? Temos que sair daqui antes que o Povo da Areia retorne."
"248" "THREEPIO" "Acho que não vou conseguir. Continue, Mestre Luke. Não faz sentido você se arriscar por minha causa. Estou acabado."
"249" "LUKE" "Não, você não está. Que tipo de conversa é essa?"
"250" "BEN" "Rápido, filho... eles estão em movimento."
"251" "LUKE" "Não, meu pai não lutou nas guerras. Ele era um navegador em um cargueiro de especiarias."
"252" "BEN" "Isso é o que seu tio lhe disse. Ele não se apegou aos ideais de seu pai. Achei que ele deveria ter ficado aqui e não se envolvido."
"253" "LUKE" "Você lutou nas Guerras Clônicas?"
"254" "BEN" "Sim, eu já fui um Cavaleiro Jedi igual ao seu pai."
"255" "LUKE" "Eu gostaria de tê-lo conhecido."
"256" "BEN" "Ele era o melhor piloto estelar da galáxia, e um guerreiro astuto. Eu entendo que você também se tornou um bom piloto. E ele era um bom amigo. O que me lembra..."
"257" "BEN" "Eu tenho algo aqui para você. Seu pai queria que você tivesse isso quando tivesse idade suficiente, mas seu tio não permitiria. Ele temia que você pudesse seguir o velho Obi-Wan em algum maldito idiota. cruzada idealista como seu pai fez."
"258" "THREEPIO" "Senhor, se você não vai precisar de mim, eu vou fechar por um tempo."
"259" "LUKE" "Claro, vá em frente."
"260" "LUKE" "O que é?"
"261" "BEN" "Sabre de luz de seu pai. Esta é a arma de um Cavaleiro Jedi. Não tão desajeitado ou aleatório como um blaster."
"262" "BEN" "Uma arma elegante para uma época mais civilizada. Por mais de mil gerações os Cavaleiros Jedi foram os guardiões da paz e da justiça na Velha República. Antes dos tempos sombrios, antes do Império."
"263" "LUKE" "Como meu pai morreu?"
"264" "BEN" "Um jovem Jedi chamado Darth Vader, que foi meu pupilo até se tornar maligno, ajudou o Império a caçar e destruir os Cavaleiros Jedi. Ele traiu e assassinou seu pai. Agora os Jedi são tudo menos extinto. Vader foi seduzido pelo lado negro da Força."
"265" "LUKE" "A Força?"
"266" "BEN" "Bem, a Força é o que dá ao Jedi seu poder. É um campo de energia criado por todas as coisas vivas. Ela nos cerca e penetra. Ela une a galáxia."
"267" "BEN" "Agora, vamos ver se não conseguimos descobrir o que você é, meu amiguinho. E de onde você vem."
"268" "LUKE" "Vi parte da mensagem que ele estava..."
"269" "BEN" "Parece que encontrei."
"270" "LEIA" "General Kenobi, anos atrás você serviu meu pai nas Guerras Clônicas. Agora ele implora que você o ajude em sua luta contra o Império. Lamento não poder apresentar o pedido de meu pai a você pessoalmente , mas minha nave caiu sob ataque e temo que minha missão de trazê-lo para Alderaan tenha falhado. Coloquei informações vitais para a sobrevivência da Rebelião nos sistemas de memória desta unidade R2. Meu pai saberá como recuperar Você deve entregar este droide com segurança a ele em Alderaan. Esta é a nossa hora mais desesperada. Ajude-me, Obi-Wan Kenobi, você é minha única esperança.
"271" "BEN" "Você deve aprender os caminhos da Força se quiser vir comigo para Alderaan."
"272" "LUKE" "Alderaan? Eu não estou indo para Alderaan. Eu tenho que ir para casa. É tarde, eu estou pronto para isso."
"273" "BEN" "Preciso da sua ajuda, Luke. Estou ficando velho demais para esse tipo de coisa. Ela precisa da sua ajuda."
"274" "LUKE" "Eu não posso me envolver! Eu tenho trabalho a fazer! Não é que eu goste do Império. Eu odeio isso! Mas não há nada que eu possa fazer sobre isso agora. É um longo caminho daqui."
"275" "BEN" "É o seu tio falando."
"276" "LUKE" "Oh, Deus, meu tio. Como vou explicar isso?"
"277" "BEN" "Aprenda sobre a Força, Luke."
"278" "LUKE" "Olha, eu posso te levar até Anchorhead. Você pode pegar um transporte lá para Mos Eisley ou onde quer que você vá."
"279" "BEN" "Você deve fazer o que acha certo, é claro."
"280" "TAGGE" "Até que esta estação de batalha esteja totalmente operacional, estamos vulneráveis. A Aliança Rebelde está muito bem equipada. Eles são mais perigosos do que você imagina."
"281" "MOTTI" "Perigoso para sua Frota Estelar, Comandante; não para esta estação de batalha!"
"282" "TAGGE" "A Rebelião continuará ganhando apoio no Senado Imperial enquanto..."
"283" "TARKIN" "O Senado Imperial não será mais uma preocupação para nós. Acabei de receber a notícia de que o Imperador dissolveu o conselho permanentemente. Os últimos remanescentes da Velha República foram varridos."
"284" "TAGGE" "Isso é impossível! Como o Imperador manterá o controle sem a burocracia?"
"285" "TARKIN" "Os governadores regionais agora têm controle direto sobre os territórios. O medo manterá os sistemas locais na linha. Medo desta estação de batalha."
"286" "TAGGE" "E a Rebelião? Se os Rebeldes obtiveram uma leitura técnica completa desta estação, é possível, embora improvável, que encontrem uma fraqueza e a explorem."
"287" "VADER" "Os planos a que se refere em breve estarão de volta em nossas mãos."
"288" "MOTTI" "Qualquer ataque feito pelos rebeldes contra esta estação seria um gesto inútil, não importa quais dados técnicos eles tenham obtido. Esta estação é agora o poder supremo do universo. Sugiro que a usemos!"
"289" "VADER" "Não se orgulhe muito desse terror tecnológico que você construiu. A capacidade de destruir um planeta é insignificante perto do poder da Força."
"290" "MOTTI" "Não tente nos assustar com seus modos de feiticeiro, Lorde Vader. Sua triste devoção a essa antiga religião não o ajudou a evocar as fitas de dados roubadas, nem lhe deu clarividência suficiente para encontrar o esconderijo do Rebelde. forte..."
"291" "VADER" "Acho sua falta de fé perturbadora."
"292" "TARKIN" "Chega disso! Vader, solte-o!"
